x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,y
36,blue-collar,married,middle,no,yes,may,cell,239,1,999,0,-1.8,92.893,-46.2,1.344,5099.1,FALSE
39,blue-collar,married,middle,yes,no,nov,,124,1,999,0,-0.1,93.2,-42,4.076,5195.8,FALSE
31,services,single,middle,no,no,may,cell,163,1,999,0,-1.8,92.893,-46.2,1.344,5099.1,FALSE
35,technician,married,professional,yes,no,jul,cell,157,8,999,0,1.4,93.918,-42.7,4.962,5228.1,FALSE
38,blue-collar,married,middle,yes,no,may,phone,275,6,999,0,1.1,93.994,-36.4,4.856,5191,FALSE
48,services,divorced,primary,yes,no,jun,phone,122,1,999,0,1.4,94.465,-41.8,4.961,5228.1,FALSE
46,blue-collar,married,primary,yes,no,nov,cell,416,2,999,0,-0.1,93.2,-42,4.12,5195.8,FALSE
33,self-employed,single,university,no,no,nov,phone,168,1,999,0,-0.1,93.2,-42,4.245,5195.8,FALSE
43,services,married,high,no,no,apr,cell,60,1,999,1,-1.8,93.075,-47.1,1.41,5099.1,FALSE
41,blue-collar,married,middle,no,yes,apr,cell,351,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,FALSE
34,technician,married,professional,yes,no,aug,cell,239,3,999,0,1.4,93.444,-36.1,4.963,5228.1,FALSE
30,management,married,university,yes,no,may,phone,28,18,999,0,1.1,93.994,-36.4,4.857,5191,FALSE
58,retired,divorced,university,yes,no,may,phone,83,4,999,0,1.1,93.994,-36.4,4.858,5191,FALSE
43,admin,single,university,no,yes,aug,cell,1471,7,999,0,1.4,93.444,-36.1,4.967,5228.1,TRUE
46,admin,married,unknown,no,no,may,phone,348,1,999,0,1.1,93.994,-36.4,4.857,5191,FALSE
27,admin,single,university,yes,no,apr,cell,605,1,999,0,-1.8,,-34.6,0.646,5008.7,FALSE
31,blue-collar,married,middle,no,no,jul,cell,186,1,999,0,1.4,93.918,-42.7,4.962,5228.1,FALSE
57,services,married,high,no,no,may,cell,88,2,999,0,-1.8,92.893,-46.2,1.281,5099.1,FALSE
35,technician,single,professional,yes,no,may,cell,213,4,999,0,-1.8,92.893,-46.2,1.244,5099.1,FALSE
52,admin,married,university,yes,no,nov,cell,32,1,999,0,-0.1,93.2,-42,4.021,5195.8,FALSE
32,blue-collar,divorced,primary,no,no,jun,phone,23,2,999,0,1.4,94.465,-41.8,4.865,5228.1,FALSE
32,services,married,high,no,yes,jul,cell,157,3,999,0,1.4,93.918,-42.7,4.957,5228.1,FALSE
36,blue-collar,married,middle,yes,no,may,cell,227,2,999,0,-1.8,92.893,-46.2,1.244,5099.1,FALSE
55,admin,single,university,no,yes,nov,cell,143,1,999,0,-0.1,93.2,-42,4.021,5195.8,FALSE
29,admin,single,middle,yes,no,may,cell,258,4,999,1,-1.8,92.893,-46.2,1.299,5099.1,FALSE
56,services,married,high,yes,no,nov,cell,254,5,999,0,-0.1,93.2,-42,4.021,5195.8,FALSE
57,admin,divorced,university,yes,yes,nov,cell,1154,1,999,0,-0.1,93.2,-42,4.076,5195.8,TRUE
23,services,married,high,no,no,may,cell,370,1,999,1,-1.8,92.893,-46.2,1.281,5099.1,FALSE
33,blue-collar,married,middle,yes,no,may,cell,264,2,999,0,-1.8,92.893,-46.2,1.313,5099.1,FALSE
46,housemaid,married,primary,yes,no,jul,cell,59,8,999,0,1.4,93.918,-42.7,4.962,5228.1,FALSE
33,blue-collar,married,middle,yes,yes,nov,cell,94,1,999,0,-0.1,93.2,-42,4.191,5195.8,FALSE
31,self-employed,single,high,no,no,jul,cell,364,2,999,0,1.4,93.918,-42.7,4.961,5228.1,FALSE
36,admin,single,university,no,yes,nov,cell,187,1,999,0,-3.4,92.649,-30.1,0.72,5017.5,TRUE
32,admin,single,high,no,no,jun,phone,137,2,999,0,1.4,94.465,-41.8,4.961,5228.1,FALSE
25,admin,single,unknown,yes,no,nov,cell,381,1,999,1,-3.4,92.649,-30.1,0.714,5017.5,TRUE
37,admin,married,university,yes,no,aug,cell,395,3,999,0,1.4,93.444,-36.1,4.963,5228.1,FALSE
28,blue-collar,single,professional,no,no,may,cell,299,2,999,0,-1.8,92.893,-46.2,1.299,5099.1,FALSE
32,admin,married,high,no,no,aug,cell,876,1,999,0,1.4,93.444,-36.1,4.968,5228.1,TRUE
46,technician,married,professional,yes,no,nov,phone,103,2,999,0,-0.1,93.2,-42,4.153,5195.8,FALSE
33,admin,single,university,yes,no,jun,phone,113,1,999,0,1.4,94.465,-41.8,4.959,5228.1,FALSE
37,unemployed,married,university,yes,no,jun,cell,614,3,3,2,-1.7,94.055,-39.8,0.754,4991.6,TRUE
38,admin,single,university,yes,no,may,phone,198,1,999,0,1.1,93.994,-36.4,4.864,5191,FALSE
55,retired,married,professional,yes,no,aug,cell,181,3,999,0,1.4,93.444,-36.1,4.968,5228.1,FALSE
28,blue-collar,married,primary,yes,no,may,cell,98,2,999,0,-1.8,92.893,-46.2,1.334,5099.1,FALSE
29,admin,married,university,yes,no,may,cell,133,1,999,1,-1.8,92.893,-46.2,1.266,5099.1,FALSE
46,technician,married,professional,no,no,may,phone,251,1,999,0,1.1,93.994,-36.4,4.86,5191,FALSE
33,admin,single,high,yes,no,may,phone,68,2,999,0,1.1,93.994,-36.4,4.858,5191,FALSE
40,self-employed,single,university,yes,no,jul,cell,1065,3,999,0,1.4,93.918,-42.7,4.963,5228.1,TRUE
42,admin,married,high,no,no,may,phone,69,1,999,0,1.1,93.994,-36.4,4.857,5191,FALSE
48,technician,married,high,no,no,may,phone,601,1,999,0,1.1,93.994,-36.4,4.857,5191,FALSE
46,services,married,high,no,no,may,cell,765,1,999,1,-1.8,92.893,-46.2,1.334,5099.1,TRUE
33,services,married,high,no,no,may,phone,131,1,999,0,1.1,93.994,-36.4,4.856,5191,FALSE
30,blue-collar,married,unknown,yes,yes,may,phone,129,2,999,0,1.1,93.994,-36.4,4.864,5191,FALSE
47,admin,married,university,yes,no,aug,cell,61,2,999,0,1.4,93.444,-36.1,4.964,5228.1,FALSE
30,blue-collar,single,middle,yes,no,nov,cell,563,2,999,0,-0.1,93.2,-42,4.191,5195.8,FALSE
35,entrepreneur,divorced,university,yes,no,jun,cell,92,2,999,1,-2.9,92.963,-40.8,1.26,5076.2,FALSE
41,technician,married,university,no,no,may,phone,162,1,999,0,1.1,93.994,-36.4,4.858,5191,FALSE
29,technician,divorced,high,no,no,jul,cell,269,1,999,0,1.4,93.918,-42.7,4.957,5228.1,FALSE
